model,nS,nE,D,invD,alpha,abs_alpha
random2body,1,3,16,0.0625,0.16855139782404838,0.16855139782404838
random2body,2,2,16,0.0625,0.250433085891752,0.250433085891752
random2body,3,1,16,0.0625,0.03260461636947334,0.03260461636947334
random2body,1,4,32,0.03125,0.4800473098580565,0.4800473098580565
random2body,2,3,32,0.03125,0.30884846535465726,0.30884846535465726
random2body,3,2,32,0.03125,0.16134885887276257,0.16134885887276257
random2body,4,1,32,0.03125,0.10425846284878337,0.10425846284878337
random2body,1,5,64,0.015625,1.0478587039545952,1.0478587039545952
random2body,2,4,64,0.015625,0.6489651482549752,0.6489651482549752
random2body,3,3,64,0.015625,0.4311410765138467,0.4311410765138467
random2body,4,2,64,0.015625,0.29894688328549995,0.29894688328549995
random2body,5,1,64,0.015625,0.1218815789191178,0.1218815789191178
random2body,1,6,128,0.0078125,1.8344406284805062,1.8344406284805062
random2body,2,5,128,0.0078125,0.7982335351747942,0.7982335351747942
random2body,3,4,128,0.0078125,0.4974090027162808,0.4974090027162808
random2body,4,3,128,0.0078125,0.41206583680145326,0.41206583680145326
random2body,5,2,128,0.0078125,0.2592502166857622,0.2592502166857622
random2body,6,1,128,0.0078125,0.13781938181655864,0.13781938181655864
random2body,1,7,256,0.00390625,2.089611248083974,2.089611248083974
random2body,2,6,256,0.00390625,0.9829273125578841,0.9829273125578841
random2body,3,5,256,0.00390625,0.6491649607547526,0.6491649607547526
random2body,4,4,256,0.00390625,0.5689330820545291,0.5689330820545291
random2body,5,3,256,0.00390625,0.40993130210023065,0.40993130210023065
random2body,6,2,256,0.00390625,0.32056003111315234,0.32056003111315234
random2body,7,1,256,0.00390625,0.12542866969460004,0.12542866969460004
random2body,1,8,512,0.001953125,2.739341684009418,2.739341684009418
random2body,2,7,512,0.001953125,1.2203652372488154,1.2203652372488154
random2body,3,6,512,0.001953125,0.7450963502732167,0.7450963502732167
random2body,4,5,512,0.001953125,0.7256151314379732,0.7256151314379732
random2body,5,4,512,0.001953125,0.5419019079308149,0.5419019079308149
random2body,6,3,512,0.001953125,0.4192565918680908,0.4192565918680908
random2body,7,2,512,0.001953125,0.2099870076343426,0.2099870076343426
random2body,8,1,512,0.001953125,0.20313431302577228,0.20313431302577228
pswap,1,3,16,0.0625,0.5528238138511316,0.5528238138511316
pswap,2,2,16,0.0625,0.35440985552639,0.35440985552639
pswap,3,1,16,0.0625,0.41372901305908694,0.41372901305908694
