model,size_label,nS,nE,D,alpha_signed,abs_alpha
dephasing,"nS=1,nE=1",1,1,4.0,0.34745842740561245,0.34745842740561245
dephasing,"nS=1,nE=2",1,2,8.0,0.6332641249988132,0.6332641249988132
dephasing,"nS=2,nE=1",2,1,8.0,0.09482425781196588,0.09482425781196588
dephasing,"nS=1,nE=3",1,3,16.0,0.7561905934479142,0.7561905934479142
dephasing,"nS=2,nE=2",2,2,16.0,0.6791724975653289,0.6791724975653289
dephasing,"nS=3,nE=1",3,1,16.0,0.06462196935704245,0.06462196935704245
dephasing,"nS=2,nE=3",2,3,32.0,0.8541777566424685,0.8541777566424685
dephasing,"nS=3,nE=2",3,2,32.0,0.6978201528377052,0.6978201528377052
dephasing,"nS=2,nE=4",2,4,64.0,0.9240740563967467,0.9240740563967467
dephasing,"nS=3,nE=3",3,3,64.0,0.9111116469976454,0.9111116469976454
dephasing,"nS=4,nE=2",4,2,64.0,0.6104498389547164,0.6104498389547164
dephasing,"nS=3,nE=4",3,4,128.0,0.9620493524221942,0.9620493524221942
dephasing,"nS=4,nE=3",4,3,128.0,0.909461139518879,0.909461139518879
dephasing,"nS=3,nE=5",3,5,256.0,0.9548653267828889,0.9548653267828889
dephasing,"nS=4,nE=4",4,4,256.0,0.9344989904090879,0.9344989904090879
dephasing,"nS=5,nE=3",5,3,256.0,0.9025352931270412,0.9025352931270412
dephasing,"nS=4,nE=5",4,5,512.0,0.9092155226154036,0.9092155226154036
dephasing,"nS=5,nE=4",5,4,512.0,0.9141177874485208,0.9141177874485208
pswap,"nS=1,nE=1",1,1,4.0,0.189352315670808,0.189352315670808
pswap,"nS=1,nE=2",1,2,8.0,0.49585494565234217,0.49585494565234217
pswap,"nS=2,nE=1",2,1,8.0,0.46118786402190026,0.46118786402190026
pswap,"nS=1,nE=3",1,3,16.0,0.6715398602626733,0.6715398602626733
pswap,"nS=2,nE=2",2,2,16.0,0.6244371937493869,0.6244371937493869
pswap,"nS=3,nE=1",3,1,16.0,0.613575021518504,0.613575021518504
pswap,"nS=2,nE=3",2,3,32.0,0.7083519495521465,0.7083519495521465
pswap,"nS=3,nE=2",3,2,32.0,0.6798822629432849,0.6798822629432849
pswap,"nS=2,nE=4",2,4,64.0,0.7339901857848169,0.7339901857848169
pswap,"nS=3,nE=3",3,3,64.0,0.7381812423695102,0.7381812423695102
pswap,"nS=4,nE=2",4,2,64.0,0.6960570706372602,0.6960570706372602
pswap,"nS=3,nE=4",3,4,128.0,0.7395777665940688,0.7395777665940688
pswap,"nS=4,nE=3",4,3,128.0,0.729887861264482,0.729887861264482
pswap,"nS=3,nE=5",3,5,256.0,0.7382344821154173,0.7382344821154173
pswap,"nS=4,nE=4",4,4,256.0,0.7376923371205639,0.7376923371205639
pswap,"nS=5,nE=3",5,3,256.0,0.7283629027073182,0.7283629027073182
pswap,"nS=4,nE=5",4,5,512.0,0.7258848513358852,0.7258848513358852
pswap,"nS=5,nE=4",5,4,512.0,0.7250265781559023,0.7250265781559023
random2body,"nS=1,nE=1",1,1,4.0,-0.2634711854273002,0.2634711854273002
random2body,"nS=1,nE=2",1,2,8.0,0.28761292519838083,0.28761292519838083
random2body,"nS=2,nE=1",2,1,8.0,0.02716001402077361,0.02716001402077361
random2body,"nS=1,nE=3",1,3,16.0,0.6714952242246276,0.6714952242246276
random2body,"nS=2,nE=2",2,2,16.0,0.3434415805457713,0.3434415805457713
random2body,"nS=3,nE=1",3,1,16.0,0.21246133928498476,0.21246133928498476
random2body,"nS=2,nE=3",2,3,32.0,0.7176420691234248,0.7176420691234248
random2body,"nS=3,nE=2",3,2,32.0,0.29319834588479293,0.29319834588479293
random2body,"nS=2,nE=4",2,4,64.0,1.104556724362755,1.104556724362755
random2body,"nS=3,nE=3",3,3,64.0,0.7703457897565631,0.7703457897565631
random2body,"nS=4,nE=2",4,2,64.0,1.238746855488168,1.238746855488168
random2body,"nS=3,nE=4",3,4,128.0,1.1411328997646932,1.1411328997646932
random2body,"nS=4,nE=3",4,3,128.0,1.1533565791476377,1.1533565791476377
random2body,"nS=3,nE=5",3,5,256.0,1.1510168819119848,1.1510168819119848
random2body,"nS=4,nE=4",4,4,256.0,1.075119833526621,1.075119833526621
random2body,"nS=5,nE=3",5,3,256.0,1.2880046030011623,1.2880046030011623
random2body,"nS=4,nE=5",4,5,512.0,0.9618123180747435,0.9618123180747435
random2body,"nS=5,nE=4",5,4,512.0,0.996410764215069,0.996410764215069
